Date,Close,High,Low,Open,Volume,Daily_Return,Log_Return,Volatility_20D,MA_5,MA_10,MA_20,MA_50,MA_200,Gap,Gap_Pct,Volume_MA_5,Volume_MA_20,Relative_Volume
2013-01-21,6082.2998046875,6094.35009765625,6065.10009765625,6085.75,130900,0.002951636210011932,0.0029472886846284353,0.006748936663746147,6048.87001953125,6016.15498046875,5973.072509765625,5857.329990234375,5432.117746582031,21.35009765625,0.0035205622980105057,26180.0,6545.0,20.0
2013-01-22,6048.5,6101.2998046875,6040.5,6080.14990234375,129000,-0.00555707639755787,-0.005572574388951168,0.006251792019989133,6047.25,6020.8349609375,5983.1125,5863.8119921875,5436.438996582031,-2.14990234375,-0.00035346865705191246,51980.0,12995.0,9.926894959599846
2013-01-23,6054.2998046875,6069.7998046875,6021.14990234375,6052.85009765625,137000,0.0009588831425146882,0.0009584237077469017,0.006253654942566534,6057.73994140625,6029.11494140625,5993.039990234375,5869.695986328125,5440.49474609375,4.35009765625,0.0007192027207158799,79380.0,19845.0,6.90350214159738
2013-01-24,6019.35009765625,6065.2998046875,6007.85009765625,6046.2001953125,185200,-0.005772708349228162,-0.005789434832539505,0.0062488257179130185,6053.769921875,6034.1849609375,5998.727490234375,5875.30798828125,5444.617746582031,-8.099609375,-0.0013378275996059747,116420.0,29105.0,6.36316784057722
2013-01-25,6074.64990234375,6080.5498046875,6014.4501953125,6024.5,147600,0.009187005871120979,0.009145062029183172,0.00627884409567531,6055.819921875,6046.519970703125,6008.95498046875,5883.075986328125,5449.096745605469,5.14990234375,0.0008555578692382777,145940.0,36485.0,4.045498149924627
2013-01-28,6074.7998046875,6088.39990234375,6061.39990234375,6082.10009765625,113100,2.467670502159791e-05,2.4676400556721332e-05,0.006185656158173601,6054.319921875,6051.594970703125,6017.2774658203125,5890.897978515625,5452.992995605468,7.4501953125,0.001226440277591229,142380.0,42140.0,2.68391077361177
2013-01-29,6049.89990234375,6111.7998046875,6042.4501953125,6064.7001953125,157600,-0.004098884431473215,-0.004107307883982924,0.006294726185759063,6054.59990234375,6050.924951171875,6024.5174560546875,5899.2759765625,5456.652995605469,-10.099609375,-0.0016625419272593698,148100.0,50020.0,3.1507397041183527
2013-01-30,6055.75,6071.9501953125,6044.14990234375,6065.0,124200,0.0009669742889437671,0.0009665070704739352,0.00540742522620484,6054.88994140625,6056.31494140625,6027.6424560546875,5908.90998046875,5460.139245605469,15.10009765625,0.002495925205374088,145540.0,56230.0,2.2087853459007647
2013-01-31,6034.75,6058.0498046875,6025.14990234375,6045.64990234375,168500,-0.003467778557569301,-0.003473805238461769,0.005452730128268296,6057.969921875,6055.869921875,6028.904956054687,5918.176982421875,5463.69849609375,-10.10009765625,-0.0016678524800809147,142200.0,64655.0,2.6061402830407547
2013-02-01,5998.89990234375,6052.9501953125,5983.2001953125,6040.9501953125,159300,-0.005940610241724986,-0.005958325862656894,0.005617876077401515,6042.819921875,6049.319921875,6028.042456054687,5926.723984375,5467.52099609375,6.2001953125,0.0010274154376734746,144540.0,72620.0,2.1936105755990085
2013-02-04,5987.25,6038.5,5981.25,6025.2001953125,141700,-0.0019420064567502449,-0.0019438945962046322,0.005536842130666873,6025.3099609375,6039.81494140625,6027.9849609375,5934.17298828125,5471.239245605469,26.30029296875,0.004384186000248906,150260.0,79705.0,1.7778056583652218
2013-02-05,5956.89990234375,5970.35009765625,5946.89990234375,5948.2001953125,136200,-0.00506912149254668,-0.005082013073346008,0.005622574596455696,6006.7099609375,6030.654931640625,6025.744946289063,5940.755986328125,5474.8894946289065,-39.0498046875,-0.006522160372040587,145980.0,86515.0,1.5742934751199213
2013-02-06,5959.2001953125,5990.89990234375,5953.14990234375,5988.0498046875,157800,0.0003861560554081489,0.0003860815163471072,0.005515102956240341,5987.4,6021.144970703125,6025.129956054688,5947.40798828125,5478.301245117187,31.14990234375,0.005229213660530712,152700.0,94405.0,1.6715216355065938
2013-02-07,5938.7998046875,5978.5,5927.60009765625,5936.4501953125,157600,-0.0034233437300943415,-0.003429216778715081,0.0055651449858767806,5968.2099609375,6013.08994140625,6023.637451171875,5953.465986328125,5481.957993164063,-22.75,-0.0038176264019280847,150520.0,102285.0,1.540792882631862
2013-02-08,5903.5,5953.7001953125,5883.64990234375,5929.10009765625,192600,-0.005943929051058117,-0.005961664511139566,0.00568206704883326,5949.12998046875,5995.974951171875,6021.2474609375,5956.986982421875,5485.3444921875,-9.69970703125,-0.001633277320376082,157180.0,111915.0,1.7209489344591877
2013-02-11,5897.85009765625,5924.14990234375,5879.10009765625,5920.0498046875,122000,-0.0009570428294656264,-0.0009575010873592933,0.004844991611365947,5931.25,5978.27998046875,6014.937475585937,5958.443984375,5488.385241699219,16.5498046875,0.002803388614804777,153240.0,118015.0,1.0337668940388933
2013-02-12,5922.5,5927.64990234375,5886.4501953125,5894.35009765625,142800,0.004179472508727411,0.004170762773135264,0.004766322590043585,5924.37001953125,5965.539990234375,6008.232470703125,5959.296982421875,5491.497741699219,-3.5,-0.0005934365814741319,154560.0,125155.0,1.1409851783788103
2013-02-13,5932.9501953125,5969.5,5922.9501953125,5943.14990234375,142600,0.0017644905550864287,0.001762935670411124,0.004419710284857367,5919.12001953125,5953.260009765625,6004.7874755859375,5960.536982421875,5494.500493164062,20.64990234375,0.0034866867612916843,151520.0,132285.0,1.0779755830215065
2013-02-14,5896.9501953125,5940.2001953125,5884.5498046875,5933.2001953125,143800,-0.006067807551872417,-0.006086291505428713,0.0042779832624278685,5910.75009765625,5939.480029296875,5997.674975585937,5960.690986328125,5497.530993652344,0.25,4.213755244355831e-05,148760.0,139475.0,1.031009141423194
2013-02-15,5887.39990234375,5899.9501953125,5853.89990234375,5869.9501953125,125100,-0.0016195308850228685,-0.0016208437428339576,0.004088225046906016,5907.530078125,5928.330029296875,5988.824975585938,5960.428984375,5500.964992675781,-27.0,-0.004578637957882426,135260.0,145730.0,0.8584368352432581
2013-02-18,5898.2001953125,5911.0,5878.4501953125,5888.64990234375,114300,0.0018344758548591855,0.001832795259055871,0.00403184598377899,5907.60009765625,5919.425048828125,5979.6199951171875,5959.774990234375,5504.342744140625,1.25,0.00021231783482253007,133720.0,144900.0,0.7888198757763976
2013-02-19,5939.7001953125,5947.5498046875,5883.14990234375,5900.2001953125,101000,0.007036044662061647,0.0070114071991698905,0.00434097392677701,5911.04013671875,5917.705078125,5974.180004882813,5960.42099609375,5508.031245117188,2.0,0.00033908648973791493,125360.0,143500.0,0.7038327526132404
